"DATE","DEATHS","AVERAGE"
"2020-12-28",63,75.85714285714286
"2020-12-29",77,72.28571428571429
"2020-12-30",74,69.57142857142857
"2020-12-31",87,70.42857142857143
"2021-01-01",50,68
"2021-01-02",64,68
"2021-01-03",42,65.28571428571429
"2021-01-04",59,64.71428571428571
"2021-01-05",63,62.714285714285715
"2021-01-06",56,60.142857142857146
"2021-01-07",53,55.285714285714285
"2021-01-08",50,55.285714285714285
"2021-01-09",52,53.57142857142857
"2021-01-10",56,55.57142857142857
"2021-01-11",53,54.714285714285715
"2021-01-12",51,53
"2021-01-13",41,50.857142857142854
"2021-01-14",62,52.142857142857146
"2021-01-15",48,51.857142857142854
"2021-01-16",46,51
"2021-01-17",44,49.285714285714285
"2021-01-18",58,50
"2021-01-19",61,51.42857142857143
"2021-01-20",49,52.57142857142857
"2021-01-21",53,51.285714285714285
"2021-01-22",49,51.42857142857143
"2021-01-23",67,54.42857142857143
"2021-01-24",39,53.714285714285715
"2021-01-25",44,51.714285714285715
"2021-01-26",52,50.42857142857143
"2021-01-27",41,49.285714285714285
"2021-01-28",55,49.57142857142857
"2021-01-29",44,48.857142857142854
"2021-01-30",29,43.42857142857143
"2021-01-31",32,42.42857142857143
"2021-02-01",38,41.57142857142857
"2021-02-02",52,41.57142857142857
"2021-02-03",41,41.57142857142857
"2021-02-04",34,38.57142857142857
"2021-02-05",55,40.142857142857146
"2021-02-06",41,41.857142857142854
"2021-02-07",40,43
"2021-02-08",37,42.857142857142854
"2021-02-09",41,41.285714285714285
"2021-02-10",42,41.42857142857143
"2021-02-11",35,41.57142857142857
"2021-02-12",43,39.857142857142854
"2021-02-13",31,38.42857142857143
"2021-02-14",52,40.142857142857146
"2021-02-15",37,40.142857142857146
"2021-02-16",39,39.857142857142854
"2021-02-17",28,37.857142857142854
"2021-02-18",33,37.57142857142857
"2021-02-19",29,35.57142857142857
"2021-02-20",21,34.142857142857146
"2021-02-21",26,30.428571428571427
"2021-02-22",20,28
"2021-02-23",25,26
"2021-02-24",22,25.142857142857142
"2021-02-25",28,24.428571428571427
"2021-02-26",22,23.428571428571427
"2021-02-27",29,24.571428571428573
"2021-02-28",30,25.142857142857142
"2021-03-01",29,26.428571428571427
"2021-03-02",25,26.428571428571427
"2021-03-03",26,27
"2021-03-04",16,25.285714285714285
"2021-03-05",33,26.857142857142858
"2021-03-06",25,26.285714285714285
"2021-03-07",19,24.714285714285715
"2021-03-08",36,25.714285714285715
"2021-03-09",23,25.428571428571427
"2021-03-10",24,25.142857142857142
"2021-03-11",26,26.571428571428573
"2021-03-12",20,24.714285714285715
"2021-03-13",24,24.571428571428573
"2021-03-14",20,24.714285714285715
"2021-03-15",25,23.142857142857142
"2021-03-16",27,23.714285714285715
"2021-03-17",25,23.857142857142858
"2021-03-18",26,23.857142857142858
"2021-03-19",31,25.428571428571427
"2021-03-20",24,25.428571428571427
"2021-03-21",24,26
"2021-03-22",34,27.285714285714285
"2021-03-23",24,26.857142857142858
"2021-03-24",27,27.142857142857142
"2021-03-25",34,28.285714285714285
"2021-03-26",20,26.714285714285715
"2021-03-27",28,27.285714285714285
"2021-03-28",23,27.142857142857142
"2021-03-29",31,26.714285714285715
"2021-03-30",33,28
"2021-03-31",31,28.571428571428573
"2021-04-01",40,29.428571428571427
"2021-04-02",46,33.142857142857146
"2021-04-03",40,34.857142857142854
"2021-04-04",36,36.714285714285715
"2021-04-05",49,39.285714285714285
"2021-04-06",46,41.142857142857146
"2021-04-07",42,42.714285714285715
"2021-04-08",43,43.142857142857146
"2021-04-09",44,42.857142857142854
"2021-04-10",46,43.714285714285715
"2021-04-11",22,41.714285714285715
"2021-04-12",43,40.857142857142854
"2021-04-13",37,39.57142857142857
"2021-04-14",39,39.142857142857146
