"DATE","NEW_IN","AVERAGE"
"2021-07-07",28,17.857142857142858
"2021-07-08",7,17.857142857142858
"2021-07-09",20,17.571428571428573
"2021-07-10",16,17.428571428571427
"2021-07-11",12,16.857142857142858
"2021-07-12",15,17.428571428571427
"2021-07-13",28,18
"2021-07-14",22,17.142857142857142
"2021-07-15",29,20.285714285714285
"2021-07-16",27,21.285714285714285
"2021-07-17",28,23
"2021-07-18",20,24.142857142857142
"2021-07-19",27,25.857142857142858
"2021-07-20",30,26.142857142857142
"2021-07-21",28,27
"2021-07-22",28,26.857142857142858
"2021-07-23",27,26.857142857142858
"2021-07-24",34,27.714285714285715
"2021-07-25",27,28.714285714285715
"2021-07-26",25,28.428571428571427
"2021-07-27",39,29.714285714285715
"2021-07-28",43,31.857142857142858
"2021-07-29",37,33.142857142857146
"2021-07-30",27,33.142857142857146
"2021-07-31",42,34.285714285714285
"2021-08-01",38,35.857142857142854
"2021-08-02",41,38.142857142857146
"2021-08-03",44,38.857142857142854
"2021-08-04",40,38.42857142857143
"2021-08-05",38,38.57142857142857
"2021-08-06",43,40.857142857142854
"2021-08-07",52,42.285714285714285
"2021-08-08",45,43.285714285714285
"2021-08-09",51,44.714285714285715
"2021-08-10",64,47.57142857142857
"2021-08-11",45,48.285714285714285
"2021-08-12",58,51.142857142857146
"2021-08-13",66,54.42857142857143
"2021-08-14",53,54.57142857142857
"2021-08-15",47,54.857142857142854
"2021-08-16",49,54.57142857142857
"2021-08-17",84,57.42857142857143
"2021-08-18",66,60.42857142857143
"2021-08-19",60,60.714285714285715
"2021-08-20",49,58.285714285714285
"2021-08-21",60,59.285714285714285
"2021-08-22",47,59.285714285714285
"2021-08-23",59,60.714285714285715
"2021-08-24",74,59.285714285714285
"2021-08-25",57,58
"2021-08-26",57,57.57142857142857
"2021-08-27",58,58.857142857142854
"2021-08-28",69,60.142857142857146
"2021-08-29",47,60.142857142857146
"2021-08-30",58,60
"2021-08-31",83,61.285714285714285
"2021-09-01",66,62.57142857142857
"2021-09-02",74,65
"2021-09-03",66,66.14285714285714
"2021-09-04",80,67.71428571428571
"2021-09-05",56,69
"2021-09-06",66,70.14285714285714
"2021-09-07",82,70
"2021-09-08",64,69.71428571428571
"2021-09-09",64,68.28571428571429
"2021-09-10",61,67.57142857142857
"2021-09-11",47,62.857142857142854
"2021-09-12",42,60.857142857142854
"2021-09-13",58,59.714285714285715
"2021-09-14",77,59
"2021-09-15",62,58.714285714285715
"2021-09-16",77,60.57142857142857
"2021-09-17",56,59.857142857142854
"2021-09-18",57,61.285714285714285
"2021-09-19",43,61.42857142857143
"2021-09-20",46,59.714285714285715
"2021-09-21",60,57.285714285714285
"2021-09-22",61,57.142857142857146
"2021-09-23",65,55.42857142857143
"2021-09-24",32,52
"2021-09-25",52,51.285714285714285
"2021-09-26",39,50.714285714285715
"2021-09-27",55,52
"2021-09-28",72,53.714285714285715
"2021-09-29",66,54.42857142857143
"2021-09-30",64,54.285714285714285
"2021-10-01",62,58.57142857142857
"2021-10-02",63,60.142857142857146
"2021-10-03",44,60.857142857142854
"2021-10-04",42,59
"2021-10-05",75,59.42857142857143
"2021-10-06",62,58.857142857142854
"2021-10-07",54,57.42857142857143
"2021-10-08",64,57.714285714285715
"2021-10-09",53,56.285714285714285
"2021-10-10",41,55.857142857142854
"2021-10-11",50,57
"2021-10-12",70,56.285714285714285
"2021-10-13",70,57.42857142857143
"2021-10-14",78,60.857142857142854
"2021-10-15",61,60.42857142857143
"2021-10-16",97,66.71428571428571
"2021-10-17",59,69.28571428571429
"2021-10-18",82,73.85714285714286
"2021-10-19",107,79.14285714285714
"2021-10-20",130,87.71428571428571
"2021-10-21",121,93.85714285714286
"2021-10-22",126,103.14285714285714
"2021-10-23",114,105.57142857142857
"2021-10-24",94,110.57142857142857
"2021-10-25",122,116.28571428571429
"2021-10-26",158,123.57142857142857
"2021-10-27",158,127.57142857142857
"2021-10-28",150,131.71428571428572
"2021-10-29",185,140.14285714285714
"2021-10-30",187,150.57142857142858
"2021-10-31",112,153.14285714285714
"2021-11-01",125,153.57142857142858
"2021-11-02",168,155
"2021-11-03",237,166.28571428571428
"2021-11-04",201,173.57142857142858
"2021-11-05",179,172.71428571428572
"2021-11-06",178,171.42857142857142
"2021-11-07",154,177.42857142857142
"2021-11-08",175,184.57142857142858
"2021-11-09",260,197.71428571428572
