"DATE","CASES","AVERAGE"
"2021-10-06",2545,1964.857142857143
"2021-10-07",2514,2015
"2021-10-08",2541,2071.285714285714
"2021-10-09",1419,2110.5714285714284
"2021-10-10",824,2131.5714285714284
"2021-10-11",3921,2293.1428571428573
"2021-10-12",3432,2456.5714285714284
"2021-10-13",3592,2606.1428571428573
"2021-10-14",3888,2802.4285714285716
"2021-10-15",4165,3034.4285714285716
"2021-10-16",2373,3170.714285714286
"2021-10-17",1490,3265.8571428571427
"2021-10-18",6564,3643.4285714285716
"2021-10-19",6293,4052.1428571428573
"2021-10-20",6549,4474.571428571428
"2021-10-21",6901,4905
"2021-10-22",7142,5330.285714285715
"2021-10-23",4091,5575.714285714285
"2021-10-24",2449,5712.714285714285
"2021-10-25",9716,6163
"2021-10-26",9446,6613.428571428572
"2021-10-27",9214,6994.142857142857
"2021-10-28",9191,7321.285714285715
"2021-10-29",9281,7626.857142857143
"2021-10-30",4967,7752
"2021-10-31",3061,7839.428571428572
"2021-11-01",3582,6963.142857142857
"2021-11-02",11710,7286.571428571428
"2021-11-03",10699,7498.714285714285
"2021-11-04",10176,7639.428571428572
"2021-11-05",11130,7903.571428571428
"2021-11-06",6449,8115.285714285715
"2021-11-07",4064,8258.57142857143
"2021-11-08",15254,9926
"2021-11-09",13004,10110.857142857143
"2021-11-10",12731,10401.142857142857
"2021-11-11",5044,9668
"2021-11-12",13727,10039
"2021-11-13",8349,10310.42857142857
"2021-11-14",5492,10514.42857142857
"2021-11-15",20806,11307.57142857143
"2021-11-16",18400,12078.42857142857
"2021-11-17",18114,12847.42857142857
"2021-11-18",18519,14772.42857142857
"2021-11-19",19101,15540.142857142857
"2021-11-20",11192,15946.285714285714
"2021-11-21",6724,16122.285714285714
"2021-11-22",25578,16804
"2021-11-23",21066,17184.85714285714
"2021-11-24",20134,17473.428571428572
"2021-11-25",20165,17708.571428571428
"2021-11-26",19987,17835.14285714286
"2021-11-27",11558,17887.428571428572
"2021-11-28",7041,17932.714285714286
"2021-11-29",25107,17865.428571428572
"2021-11-30",20770,17823.14285714286
"2021-12-01",19263,17698.714285714286
